stitch_flat_id,drug_name,sider_version,atc_codes
CID100002094,allopurinol,4.1,M04AA01
CID100123606,almotriptan,4.1,N02CC05
CID111163584,alogliptin,4.1,A10BH04
CID100002099,alosetron,4.1,A03AE01
CID100003125,alpha-methyl-p-tyrosine,4.1,C02KB01
CID100002118,alprazolam,4.1,N05BA12
CID105488547,alvimopan,4.1,A06AH02
CID100002130,amantadine,4.1,N04BB01
CID100197712,ambrisentan,4.1,C02KX02
CID100002133,amcinonide,4.1,D07AC11
CID100002141,amifostine,4.1,V03AF05
CID100002142,amikacin,4.1,D06AX12; J01GB06; S01AA21
CID100016230,amiloride,4.1,C03DB01
CID100002145,aminoglutethimide,4.1,L02BG01
CID100009433,aminophylline,4.1,R03DA05
CID100002156,amiodarone,4.1,C01BD01
CID100002159,amisulpride,4.1,N05AL05
CID100002160,amitriptyline,4.1,N06AA09
CID100002161,amlexanox,4.1,A01AD07; R03DX01
CID100002162,amlodipine,4.1,C08CA01
CID100060496,amlodipine,4.1,
CID100000222,ammonia,4.1,
CID100062358,ammonium,4.1,
CID100002163,amobarbital,4.1,N05CA02
CID100002168,amorolfine,4.1,D01AE16
CID100002170,amoxapine,4.1,N06AA17
CID100002171,amoxicillin,4.1,J01CA04
CID100003007,amphetamine,4.1,N06BA01; N06BA02
CID100001972,amphotericin,4.1,A01AB04; A07AA07; G01AA03; J02AA01
CID100002173,ampicillin,4.1,J01CA01; S01AA19
CID100002177,amprenavir,4.1,J05AE05
CID100002179,amsacrine,4.1,L01XX01
CID100002182,anagrelide,4.1,L01XX35
CID100002187,anastrozole,4.1,L02BG03
CID100002958,anthracycline,4.1,L01DB02
CID110182969,apixaban,4.1,
CID100002215,apomorphine,4.1,G04BE07; N04BC07
CID100002216,apraclonidine,4.1,S01EA03
CID109912092,apremilast,4.1,
CID100151165,aprepitant,4.1,A04AD12
CID100002232,argatroban,4.1,B01AE03
CID100008230,argenine,4.1,H01BA06
CID100000232,arginine,4.1,B05XB01
CID100060795,aripiprazole,4.1,N05AX12
CID100014888,arsenic,4.1,L01XX27
CID105359596,arsenic,4.1,
CID100032169,articaine,4.1,N01BB08
CID111020241,ascorbate,4.1,A11GA01; B03AA10; G01AD03; S01XA15
CID100156326,asenapine,4.1,N05AH05
CID100002244,aspirin,4.1,A01AD05; B01AC06; N02BA01
CID100148192,atazanavir,4.1,J05AE08
CID100002249,atenolol,4.1,C07AB03; C07AB11
CID100054840,atomoxetine,4.1,N06BA09
CID100002250,atorvastatin,4.1,C10AA05
CID100068613,atosiban,4.1,G02CX01
CID100074989,atovaquone,4.1,P01AX06
CID100047319,atracurium,4.1,M03AC04
CID100003661,atropine,4.1,A03BA01; A03BA03; S01FA01; V03AB14
CID106333887,auranofin,4.1,M01CB03
CID109869929,avanafil,4.1,
CID103086685,axitinib,4.1,
CID100002265,azathioprine,4.1,L04AX01
CID100002266,azelaic,4.1,D10AX03
CID100002267,azelastine,4.1,R01AC03; R06AX19; S01GX07
CID109825285,azilsartan,4.1,
CID111238823,azilsartan,4.1,
