stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version,candidate_name
CID100005291,CID000005291,C0232461,PT,C0232461,Increased appetite,4.1,imatinib
CID100005291,CID000005291,C0423798,PT,C0423798,Increased tendency to bruise,4.1,imatinib
CID100005291,CID000005291,C0009450,PT,C0009450,Infection,4.1,imatinib
CID100005291,CID000005291,C0851341,PT,C1384353,Infestation,4.1,imatinib
CID100005291,CID000005291,C0021390,PT,C0021390,Inflammatory bowel disease,4.1,imatinib
CID100005291,CID000005291,C0021400,PT,C0021400,Influenza,4.1,imatinib
CID100005291,CID000005291,C0521839,PT,C0521839,Influenza like illness,4.1,imatinib
CID100005291,CID000005291,C0917801,PT,C0917801,Insomnia,4.1,imatinib
CID100005291,CID000005291,C0206061,PT,C0206062,Interstitial lung disease,4.1,imatinib
CID100005291,CID000005291,C0021843,PT,C0021843,Intestinal obstruction,4.1,imatinib
CID100005291,CID000005291,C0151740,PT,C0151740,Intracranial pressure increased,4.1,imatinib
CID100005291,CID000005291,C0022346,PT,C0022346,Jaundice,4.1,imatinib
CID100005291,CID000005291,C0152031,PT,C0152031,Joint swelling,4.1,imatinib
CID100005291,CID000005291,C0152227,PT,C0152227,Lacrimation increased,4.1,imatinib
CID100005291,CID000005291,C0858635,PT,C0549373,Laryngeal pain,4.1,imatinib
CID100005291,CID000005291,C0023380,PT,C0023380,Lethargy,4.1,imatinib
CID100005291,CID000005291,C0151436,PT,C2973529,Leukocytoclastic vasculitis,4.1,imatinib
CID100005291,CID000005291,C0162835,PT,C0162835,Leukoderma,4.1,imatinib
CID100005291,CID000005291,C0023530,PT,C0023530,Leukopenia,4.1,imatinib
CID100005291,CID000005291,C0011124,PT,C0011124,Libido decreased,4.1,imatinib
CID100005291,CID000005291,C0023646,PT,C0023646,Lichen planus,4.1,imatinib
CID100005291,CID000005291,C1274594,PT,C1274594,Lichenoid keratosis,4.1,imatinib
CID100005291,CID000005291,C0039070,PT,C0041657,Loss of consciousness,4.1,imatinib
CID100005291,CID000005291,C0149725,PT,C0149725,Lower respiratory tract infection,4.1,imatinib
CID100005291,CID000005291,C0497156,PT,C0497156,Lymphadenopathy,4.1,imatinib
CID100005291,CID000005291,C0024312,PT,C0024312,Lymphopenia,4.1,imatinib
CID100005291,CID000005291,C0271051,PT,C0271051,Macular oedema,4.1,imatinib
CID100005291,CID000005291,C0231218,PT,C0231218,Malaise,4.1,imatinib
CID100005291,CID000005291,C0162429,PT,C0162429,Malnutrition,4.1,imatinib
CID100005291,CID000005291,C0024899,PT,C0024899,Mastocytosis,4.1,imatinib
CID100005291,CID000005291,C0025061,PT,C0025061,Mediastinal disorder,4.1,imatinib
CID100005291,CID000005291,C0025222,PT,C0025222,Melaena,4.1,imatinib
CID100005291,CID000005291,C0233794,PT,C0233794,Memory impairment,4.1,imatinib
CID100005291,CID000005291,C0025323,PT,C0025323,Menorrhagia,4.1,imatinib
CID100005291,CID000005291,C0156404,PT,C0156404,Menstruation irregular,4.1,imatinib
CID100005291,CID000005291,C0004936,PT,C0004936,Mental disorder,4.1,imatinib
CID100005291,CID000005291,C0149931,PT,C0149931,Migraine,4.1,imatinib
CID100005291,CID000005291,C0149745,PT,C0149745,Mouth ulceration,4.1,imatinib
CID100005291,CID000005291,C0333355,PT,C0333355,Mucosal inflammation,4.1,imatinib
CID100005291,CID000005291,C0026821,PT,C0037763,Muscle spasms,4.1,imatinib
CID100005291,CID000005291,C0151786,PT,C0151786,Muscular weakness,4.1,imatinib
CID100005291,CID000005291,C0003862,PT,C0948594,Musculoskeletal discomfort,4.1,imatinib
CID100005291,CID000005291,C0026857,PT,C0026857,Musculoskeletal disorder,4.1,imatinib
CID100005291,CID000005291,C0026858,PT,C0026858,Musculoskeletal pain,4.1,imatinib
CID100005291,CID000005291,C0221170,PT,C0948525,Musculoskeletal stiffness,4.1,imatinib
CID100005291,CID000005291,C0231528,PT,C0231528,Myalgia,4.1,imatinib
CID100005291,CID000005291,C0027051,PT,C0027051,Myocardial infarction,4.1,imatinib
CID100005291,CID000005291,C0026848,PT,C0026848,Myopathy,4.1,imatinib
CID100005291,CID000005291,C0221345,PT,C0221345,Nail discolouration,4.1,imatinib
CID100005291,CID000005291,C0027339,PT,C0027339,Nail disorder,4.1,imatinib
CID100005291,CID000005291,C0027441,PT,C0027441,Nasopharyngitis,4.1,imatinib
CID100005291,CID000005291,C0027497,PT,C0027497,Nausea,4.1,imatinib
CID100005291,CID000005291,C0027540,PT,C0027540,Necrosis,4.1,imatinib
